1,Goa,beach|seafood|relax,Beautiful coastal destination known for golden beaches, seafood, and nightlife,15000,4.6
2,Manali,mountain|snow|adventure,Popular hill station with snow-capped peaks and adventure sports,12000,4.7
3,Jaipur,heritage|palace|culture,The Pink City known for its royal palaces, forts, and Rajasthani culture,10000,4.5
4,Kerala,backwater|nature|ayurveda,Serene houseboat rides, lush greenery, and rejuvenating Ayurvedic retreats,18000,4.8
5,Rishikesh,yoga|river|adventure,Spiritual hub by the Ganges offering rafting, yoga, and serene vibes,14000,4.6
6,Leh-Ladakh,desert|mountain|biking,High-altitude desert famous for road trips and monasteries,20000,4.9
7,Andaman Islands,beach|snorkeling|relax,Tropical islands with coral reefs, white sands, and clear waters,22000,4.8
8,Darjeeling,mountain|tea|train,Famous for tea gardens, scenic toy train rides, and cool climate,13000,4.4
9,Coorg,coffee|forest|relax,Hill station known for coffee plantations and tranquil nature,16000,4.7
10,Mysore,heritage|palace|culture,Known for Mysore Palace, traditional silk, and historical charm,9000,4.3
